Run,alpha,betax,zetax,Learning Rounds,Learning Time,Training Set Loglikelihood
,0.3530328661811227,0.1049379349401534,0.21831352929260806,3,213.888773,-3110.8504864067613
run 2,0.36238350159244015,0.10236075136170728,0.19678041006793787,3,213.749966,-3080.4313119471126
run 3,0.3695920708495519,0.0997347293552634,0.18895110045941335,3,213.59534,-3114.915317746282
run 4,0.36566367393464194,0.10191489662005543,0.22163105019036422,3,213.538375,-3049.5382710689814
run 5,0.3422473326560823,0.10348041579241513,0.20781169393656473,3,212.196009,-3114.0083238267534
run 6,0.3764057593263014,0.09902421892673723,0.1764447640043858,3,212.805082,-3122.49875062367
run 7,0.35286066111463327,0.10045956755909738,0.19081381712503614,3,214.333686,-3144.0631282360346
run 8,0.3774476633789787,0.10111578652873898,0.22111619481922026,3,212.802591,-3028.7050947729344
run 9,0.34777986152136176,0.10080856270625818,0.2383647582877122,3,213.634596,-3107.3239002915366
run 10,0.3709742922456418,0.10108026673323603,0.21320689995930037,3,212.923236,-3108.719024577938
