Run,Mu,Gammax,Learning Rounds,Learning Time,Training Set Loglikelihood
run1,0.9661071069546198,200.42320608196073,4,184.684961,12138.372273318968
run2,0.8712833878704187,197.11526344723976,4,185.972027,12184.823610689396
run3,1.0862440446767636,200.2239732731828,4,185.822544,11945.566237395922
run4,1.1097642167610144,194.1838612825306,4,185.849318,11862.693845495709
run5,0.9766767218562177,199.64621787822935,4,186.505992,12069.383331461275
run6,1.1117403304245312,199.57723565945633,4,184.365987,12099.441800857416
run7,0.895745546289802,203.25140980003164,4,188.018208,12162.181648615482
run8,0.8728072482226824,199.7332492921161,4,186.936226,12043.767673548822
run9,1.136129006611801,203.60603166340476,4,186.68918,12092.87827875603
run10,1.0871231874621083,198.03747369284994,4,185.954782,11828.307108704637
