Run,mu1a,mu1b,mu2,kappa,Learning Rounds,Learning Time,Training Set Loglikelihood
,0.2130672051138117,1.7221172557817435,1.9384456425824612,3.7924106238433057,105,2917.716711,-710.3581922042993
run 2,0.17931856109658775,2.004033993454439,0.2823209180802796,4.5834701914336,193,2542.447993,-704.9853918044297
run 3,0.23442337052406356,1.6859165329684156,2.104106238684984,4.357853086185417,105,2401.93786,-722.7369366980272
run 4,0.1803714052325208,1.5602126552613065,1.4878598931637819,3.922026897995935,104,2954.689086,-674.9104260577973
run 5,0.21397573886405633,1.9389925069054472,0.34595797838825554,4.462877783126458,155,4628.154686,-725.5533673552837
run 6,0.18192768340094279,1.8092708663302604,0.2968814959849289,4.474055968822152,238,6532.413996,-702.7369017746049
run 7,0.2320193442088145,1.774997500101839,1.8120857439184344,4.035564294029483,92,2750.314122,-741.5687758437497
run 8,0.17385938144483123,1.3474102061974416,1.7356436407429237,3.172704619998888,108,2972.543018,-652.7561466139575
run 9,0.23893340457212972,1.6732901367668416,1.8233882069842264,3.3003872420356974,98,2370.73126,-741.4569397627357
run 10,0.17763881656676264,1.5953628800377968,1.1182576555477097,3.4765207102963824,120,2558.306186,-675.8507804809288
